date_key,date,year,quarter,month,month_name,day,weekday_name,is_weekend
20170707,2017-07-07,2017,3,7,July,7,Friday,False
20170708,2017-07-08,2017,3,7,July,8,Saturday,True
20170709,2017-07-09,2017,3,7,July,9,Sunday,True
20170710,2017-07-10,2017,3,7,July,10,Monday,False
20170711,2017-07-11,2017,3,7,July,11,Tuesday,False
20170712,2017-07-12,2017,3,7,July,12,Wednesday,False
20170713,2017-07-13,2017,3,7,July,13,Thursday,False
20170714,2017-07-14,2017,3,7,July,14,Friday,False
20170715,2017-07-15,2017,3,7,July,15,Saturday,True
20170716,2017-07-16,2017,3,7,July,16,Sunday,True
20170717,2017-07-17,2017,3,7,July,17,Monday,False
20170718,2017-07-18,2017,3,7,July,18,Tuesday,False
20170719,2017-07-19,2017,3,7,July,19,Wednesday,False
20170720,2017-07-20,2017,3,7,July,20,Thursday,False
20170721,2017-07-21,2017,3,7,July,21,Friday,False
20170722,2017-07-22,2017,3,7,July,22,Saturday,True
20170723,2017-07-23,2017,3,7,July,23,Sunday,True
20170724,2017-07-24,2017,3,7,July,24,Monday,False
20170725,2017-07-25,2017,3,7,July,25,Tuesday,False
20170726,2017-07-26,2017,3,7,July,26,Wednesday,False
20170727,2017-07-27,2017,3,7,July,27,Thursday,False
20170728,2017-07-28,2017,3,7,July,28,Friday,False
20170729,2017-07-29,2017,3,7,July,29,Saturday,True
20170730,2017-07-30,2017,3,7,July,30,Sunday,True
20170731,2017-07-31,2017,3,7,July,31,Monday,False
20170801,2017-08-01,2017,3,8,August,1,Tuesday,False
20170802,2017-08-02,2017,3,8,August,2,Wednesday,False
20170803,2017-08-03,2017,3,8,August,3,Thursday,False
20170804,2017-08-04,2017,3,8,August,4,Friday,False
20170805,2017-08-05,2017,3,8,August,5,Saturday,True
20170806,2017-08-06,2017,3,8,August,6,Sunday,True
20170807,2017-08-07,2017,3,8,August,7,Monday,False
20170808,2017-08-08,2017,3,8,August,8,Tuesday,False
20170809,2017-08-09,2017,3,8,August,9,Wednesday,False
20170810,2017-08-10,2017,3,8,August,10,Thursday,False
